date,BTC,ETH,BNB,XRP,SOL,ADA,DOGE,TRX,LINK,LTC
2015-01-01 00:00:00+00:00,314.89,,,,,,0.0001849,,,2.69
2015-01-02 00:00:00+00:00,315.21,,,,,,0.0001888,,,2.66
2015-01-03 00:00:00+00:00,287.13,,,,,,0.00017,,,2.18
2015-01-04 00:00:00+00:00,264.72,,,,,,0.00016,,,1.95
2015-01-05 00:00:00+00:00,274.84,,,,,,0.0001641,,,2.11
2015-01-06 00:00:00+00:00,282.27,,,,,,0.0001699,,,2.1
2015-01-07 00:00:00+00:00,291.34,,,,,,0.0001792,,,2.11
2015-01-08 00:00:00+00:00,282.69,,,,,,0.00017,,,2.0
2015-01-09 00:00:00+00:00,287.97,,,,,,0.00018,,,1.98
2015-01-10 00:00:00+00:00,273.35,,,,,,0.0001692,,,1.63
2015-01-11 00:00:00+00:00,264.77,,,,,,0.0001586,,,1.66
2015-01-12 00:00:00+00:00,269.33,,,,,,0.0001585,,,1.73
2015-01-13 00:00:00+00:00,221.29,,,,,,0.0001396,,,1.54
2015-01-14 00:00:00+00:00,164.92,,,,,,0.0001488,,,1.12
2015-01-15 00:00:00+00:00,209.78,,,,,,0.0001402,,,1.29
2015-01-16 00:00:00+00:00,206.92,,,,,,0.0001512,,,1.4
2015-01-17 00:00:00+00:00,199.65,,,,,,0.0001351,,,1.28
2015-01-18 00:00:00+00:00,210.62,,,,,,0.0001382,,,1.32
2015-01-19 00:00:00+00:00,215.87,,,,,,0.002,,,1.33
2015-01-20 00:00:00+00:00,210.55,,,,,,0.00014,,,1.31
2015-01-21 00:00:00+00:00,228.17,,,,,,0.0001545,,,1.36
2015-01-22 00:00:00+00:00,232.7,,,,,,0.0001542,,,1.41
2015-01-23 00:00:00+00:00,232.17,,,,,,0.000148,,,1.43
2015-01-24 00:00:00+00:00,248.16,,,,,,0.000155,,,1.86
2015-01-25 00:00:00+00:00,252.09,,,,,,0.0001621,,,2.22
2015-01-26 00:00:00+00:00,269.18,,,,,,0.0001634,,,2.06
2015-01-27 00:00:00+00:00,263.27,,,,,,0.000157,,,2.08
2015-01-28 00:00:00+00:00,236.17,,,,,,0.000139,,,1.93
2015-01-29 00:00:00+00:00,233.99,,,0.0143,,,0.0001401,,,1.89
2015-01-30 00:00:00+00:00,231.84,,,0.015,,,0.0001403,,,1.92
2015-01-31 00:00:00+00:00,218.51,,,0.01499,,,0.0001399,,,1.88
2015-02-01 00:00:00+00:00,225.29,,,0.0139,,,0.0001441,,,1.84
2015-02-02 00:00:00+00:00,238.86,,,0.01374,,,0.0001407,,,1.78
2015-02-03 00:00:00+00:00,227.41,,,0.0132,,,0.000145,,,1.83
2015-02-04 00:00:00+00:00,226.58,,,0.01351,,,0.000145,,,1.8
2015-02-05 00:00:00+00:00,216.52,,,0.01523,,,0.0001448,,,1.739
2015-02-06 00:00:00+00:00,222.96,,,0.01436,,,0.0001485,,,1.79
2015-02-07 00:00:00+00:00,227.68,,,0.01474,,,0.0001514,,,1.8
2015-02-08 00:00:00+00:00,223.67,,,0.01442,,,0.0001508,,,1.78
2015-02-09 00:00:00+00:00,220.34,,,0.01384,,,0.00015,,,1.73
2015-02-10 00:00:00+00:00,219.67,,,0.01351,,,0.0001495,,,1.757
2015-02-11 00:00:00+00:00,218.83,,,0.0137,,,0.0001392,,,1.729
2015-02-12 00:00:00+00:00,221.79,,,0.01403,,,0.0001256,,,1.749
2015-02-13 00:00:00+00:00,236.17,,,0.01473,,,0.0001337,,,1.819
2015-02-14 00:00:00+00:00,258.64,,,0.01489,,,0.0001489,,,1.957
2015-02-15 00:00:00+00:00,233.27,,,0.01361,,,0.0001387,,,1.827
2015-02-16 00:00:00+00:00,235.83,,,0.01374,,,0.0001433,,,1.799
2015-02-17 00:00:00+00:00,243.2,,,0.01386,,,0.0001404,,,1.849
2015-02-18 00:00:00+00:00,235.2,,,0.01372,,,0.0001468,,,1.809
2015-02-19 00:00:00+00:00,241.92,,,0.014,,,0.0001407,,,1.848
2015-02-20 00:00:00+00:00,244.52,,,0.01337,,,0.0001442,,,1.839
2015-02-21 00:00:00+00:00,244.41,,,0.01346,,,0.0001443,,,1.839
2015-02-22 00:00:00+00:00,235.73,,,0.01323,,,0.0001383,,,1.794
2015-02-23 00:00:00+00:00,238.82,,,0.01357,,,0.0001408,,,1.808
2015-02-24 00:00:00+00:00,238.89,,,0.01308,,,0.0001411,,,1.818
2015-02-25 00:00:00+00:00,237.33,,,0.01314,,,0.0001356,,,1.799
2015-02-26 00:00:00+00:00,236.53,,,0.01309,,,0.0001405,,,1.809
2015-02-27 00:00:00+00:00,253.47,,,0.01309,,,0.0001484,,,1.836
2015-02-28 00:00:00+00:00,254.06,,,0.01265,,,0.0001413,,,1.839
2015-03-01 00:00:00+00:00,257.94,,,0.01177,,,0.0001454,,,1.875
2015-03-02 00:00:00+00:00,273.75,,,0.01161,,,0.0001498,,,1.915
2015-03-03 00:00:00+00:00,280.65,,,0.008505,,,0.000144,,,1.939
2015-03-04 00:00:00+00:00,271.92,,,0.01026,,,0.0001414,,,1.928
