date,BTC,ETH,BNB,SOL,XRP,ADA,DOGE,AVAX,LINK,LTC
2021-01-01 00:00:00+00:00,29331.69,728.91,37.7762,1.8421,0.23746,0.17509,0.00568,3.6497,11.8477,126.24
2021-01-02 00:00:00+00:00,32178.33,774.56,38.2331,1.7999,0.22064,0.17742,0.0105264,3.4956,12.2215,136.96
2021-01-03 00:00:00+00:00,33000.05,978.28,41.2575,2.1779,0.2254,0.20615,0.0098209,3.4691,13.6814,161.24
2021-01-04 00:00:00+00:00,31988.71,1041.43,41.1333,2.4909,0.23565,0.22528,0.0097613,3.5999,13.5935,155.34
2021-01-05 00:00:00+00:00,33949.53,1099.56,41.8219,2.1636,0.22573,0.25873,0.00997,4.2501,14.5162,158.43
2021-01-06 00:00:00+00:00,36769.36,1208.42,42.2417,1.9414,0.24854,0.33309,0.01042,4.5788,17.2322,168.92
2021-01-07 00:00:00+00:00,39432.28,1224.87,43.5728,2.3635,0.32389,0.29928,0.0097439,4.4707,15.9628,169.35
2021-01-08 00:00:00+00:00,40582.81,1216.93,42.356,3.2214,0.32032,0.30389,0.00974,5.7,15.2381,172.19
2021-01-09 00:00:00+00:00,40088.22,1276.0,43.8479,3.3829,0.32419,0.33062,0.0101789,7.1877,17.5501,177.26
2021-01-10 00:00:00+00:00,38150.02,1254.25,42.4031,3.449,0.31491,0.30153,0.00982,6.5416,16.206,170.07
2021-01-11 00:00:00+00:00,35404.47,1087.01,38.1674,3.1016,0.28743,0.2757,0.0088326,6.4713,14.6393,138.87
2021-01-12 00:00:00+00:00,34051.24,1050.16,38.2541,3.6354,0.29254,0.28888,0.0080807,7.72,13.9655,133.42
2021-01-13 00:00:00+00:00,37371.38,1129.89,40.1114,3.5242,0.30582,0.3123,0.0086738,8.4695,15.9356,147.38
2021-01-14 00:00:00+00:00,39144.5,1231.62,41.8723,3.2921,0.29642,0.31201,0.0093907,9.3177,17.9804,152.5
2021-01-15 00:00:00+00:00,36742.22,1168.53,40.8668,3.2475,0.27991,0.30188,0.0093525,9.3794,20.7375,143.65
2021-01-16 00:00:00+00:00,35994.98,1227.83,43.142,3.4247,0.27924,0.35071,0.0092374,12.8421,20.1054,143.52
2021-01-17 00:00:00+00:00,35828.61,1232.45,45.8675,3.8268,0.27746,0.38081,0.0090987,13.1746,23.2819,142.8
2021-01-18 00:00:00+00:00,36631.27,1258.45,45.3412,3.7868,0.28528,0.37123,0.0091782,12.7035,22.0336,151.96
2021-01-19 00:00:00+00:00,35891.49,1365.36,42.5241,3.6287,0.29396,0.3672,0.0090428,11.7367,20.5557,151.86
2021-01-20 00:00:00+00:00,35468.23,1376.99,42.6069,3.7166,0.29539,0.37532,0.0090487,12.3768,21.8482,149.69
2021-01-21 00:00:00+00:00,30850.13,1110.96,38.6343,2.9899,0.26802,0.30785,0.0081581,11.3225,18.4119,129.72
2021-01-22 00:00:00+00:00,32945.17,1232.62,40.8936,3.3352,0.27217,0.34867,0.0085075,12.7097,21.5519,137.66
2021-01-23 00:00:00+00:00,32078.0,1233.6,40.9109,3.5079,0.27167,0.34583,0.0085779,12.8669,24.8046,137.67
2021-01-24 00:00:00+00:00,32259.9,1392.51,41.8263,3.6278,0.27339,0.35345,0.0087135,12.4801,24.7935,141.01
2021-01-25 00:00:00+00:00,32254.2,1317.88,41.8347,3.7038,0.26757,0.34308,0.0083509,12.1816,23.3418,137.07
2021-01-26 00:00:00+00:00,32467.77,1365.97,41.8396,4.041,0.26834,0.3433,0.0082472,12.2088,23.0981,134.67
2021-01-27 00:00:00+00:00,30366.15,1239.03,40.8826,3.675,0.25039,0.31144,0.0074124,11.158,20.9586,122.44
2021-01-28 00:00:00+00:00,33364.86,1329.69,42.5254,3.81,0.26407,0.34409,0.0364995,11.9615,23.0145,133.27
2021-01-29 00:00:00+00:00,34252.2,1379.5,42.8618,3.8293,0.2829,0.34752,0.0459059,11.6158,22.748,134.65
2021-01-30 00:00:00+00:00,34262.88,1378.05,44.7849,4.228,0.44372,0.364,0.02826,12.0433,23.6399,133.36
2021-01-31 00:00:00+00:00,33092.98,1312.55,44.3292,4.2525,0.49507,0.34475,0.037,13.4704,22.5613,129.36
2021-02-01 00:00:00+00:00,33526.37,1374.17,51.4781,4.6148,0.37106,0.40876,0.0348173,13.2153,22.8757,132.0
2021-02-02 00:00:00+00:00,35466.24,1511.87,51.0071,5.2331,0.37254,0.42498,0.0313489,13.4703,23.6582,141.98
2021-02-03 00:00:00+00:00,37618.87,1664.49,52.12,5.7311,0.39721,0.44189,0.0372597,14.84,25.087,155.93
2021-02-04 00:00:00+00:00,36936.66,1595.67,55.9599,6.4085,0.44545,0.43934,0.0529081,15.2697,24.492,145.07
2021-02-05 00:00:00+00:00,38290.24,1719.19,67.7005,6.7005,0.45219,0.53917,0.0467193,17.8973,26.3034,155.05
2021-02-06 00:00:00+00:00,39186.94,1676.35,72.8356,6.1225,0.44307,0.63444,0.0576559,18.1216,25.0231,155.57
2021-02-07 00:00:00+00:00,38795.69,1611.62,68.3542,6.6976,0.41849,0.66109,0.0779247,23.705,24.7254,150.76
2021-02-08 00:00:00+00:00,46374.87,1750.15,79.8374,7.855,0.45099,0.67638,0.0787,30.056,25.4115,167.28
2021-02-09 00:00:00+00:00,46420.42,1769.13,107.3469,7.8005,0.47636,0.70562,0.0700121,31.9194,27.6034,181.49
2021-02-10 00:00:00+00:00,44807.58,1740.78,128.9711,9.09,0.50429,0.93966,0.0725527,54.6861,26.8121,181.56
2021-02-11 00:00:00+00:00,47969.51,1785.62,124.085,9.2004,0.52806,0.92796,0.069583,46.9673,27.8475,183.62
2021-02-12 00:00:00+00:00,47287.6,1840.26,136.6139,9.2,0.609,0.92426,0.0697675,48.2978,30.6265,196.69
2021-02-13 00:00:00+00:00,47153.69,1814.96,133.3496,8.7441,0.63309,0.91299,0.0662405,44.0832,34.1941,225.76
2021-02-14 00:00:00+00:00,48577.79,1800.42,135.8623,8.7158,0.59211,0.84364,0.0626783,39.1711,33.1565,213.49
2021-02-15 00:00:00+00:00,47911.1,1779.25,130.303,8.8516,0.54976,0.86143,0.0565,38.309,32.5899,207.83
2021-02-16 00:00:00+00:00,49133.45,1781.99,130.183,8.3002,0.51995,0.87,0.053476,36.5402,31.9632,210.26
2021-02-17 00:00:00+00:00,52119.71,1849.88,165.3233,8.2357,0.53467,0.89206,0.0495187,37.3003,32.2324,237.49
2021-02-18 00:00:00+00:00,51552.6,1939.61,195.6,8.9771,0.53204,0.91442,0.0587991,40.9656,32.4801,226.59
2021-02-19 00:00:00+00:00,55906.0,1955.0,333.111,11.4912,0.56465,0.92581,0.055033,38.7274,34.6846,236.5
2021-02-20 00:00:00+00:00,55841.19,1913.0,253.0,9.9869,0.51167,1.11568,0.0541708,35.9985,33.9387,226.65
2021-02-21 00:00:00+00:00,57408.57,1933.53,295.2597,11.0753,0.54468,1.09894,0.0560183,36.1855,34.0915,227.13
2021-02-22 00:00:00+00:00,54087.67,1777.58,267.5147,14.4191,0.56646,1.09703,0.0535557,32.1502,31.4542,208.32
2021-02-23 00:00:00+00:00,48891.0,1577.89,231.3646,15.2244,0.47579,0.96197,0.0476562,27.5924,25.9249,177.34
2021-02-24 00:00:00+00:00,49676.2,1623.39,254.5056,17.1691,0.4686,1.04902,0.0567911,29.7396,28.0851,181.43
2021-02-25 00:00:00+00:00,47073.73,1481.75,234.9146,13.8442,0.43601,1.07691,0.0499138,26.7,24.7144,179.36
2021-02-26 00:00:00+00:00,46276.87,1444.59,221.717,13.5962,0.42788,1.24303,0.0504768,25.9695,25.1862,170.25
2021-02-27 00:00:00+00:00,46106.43,1458.13,225.3853,13.1916,0.43589,1.31402,0.0500725,25.7616,26.1896,171.76
2021-02-28 00:00:00+00:00,45135.66,1419.18,210.2138,13.0887,0.41565,1.31203,0.0481582,23.9566,24.7016,165.22
2021-03-01 00:00:00+00:00,49587.03,1569.86,254.9637,14.9855,0.44537,1.29627,0.0505933,27.5107,27.7116,175.89
2021-03-02 00:00:00+00:00,48440.65,1486.78,239.6841,13.9438,0.4357,1.2228,0.050364,27.1101,28.4769,179.08
2021-03-03 00:00:00+00:00,50349.37,1567.69,240.5701,14.0742,0.44846,1.21311,0.0504146,27.22,29.85,187.64
2021-03-04 00:00:00+00:00,48374.09,1539.23,229.6369,13.0508,0.48096,1.11239,0.0499865,25.7781,27.6943,180.67
2021-03-05 00:00:00+00:00,48751.71,1528.31,225.4714,12.5382,0.45457,1.15908,0.0495285,24.2414,27.8343,180.23
2021-03-06 00:00:00+00:00,48882.2,1650.35,226.3814,13.0421,0.46285,1.129,0.0509588,24.911,28.1479,182.85
2021-03-07 00:00:00+00:00,50971.75,1726.16,240.11,13.8174,0.46558,1.13042,0.0519871,26.6863,28.5932,190.75
2021-03-08 00:00:00+00:00,52375.17,1833.18,240.5509,13.6028,0.47412,1.11848,0.0629738,25.6179,31.8469,191.85
2021-03-09 00:00:00+00:00,54884.5,1870.51,293.2052,14.839,0.4849,1.1972,0.0579117,34.314,31.4914,203.81
2021-03-10 00:00:00+00:00,55851.59,1795.12,278.4499,14.2048,0.46155,1.13261,0.0558692,29.5858,29.9036,200.29
2021-03-11 00:00:00+00:00,57773.16,1825.78,290.0301,16.031,0.45187,1.1243,0.0559286,30.8005,30.1166,201.36
2021-03-12 00:00:00+00:00,57221.72,1766.1,263.2201,14.5597,0.43934,1.03207,0.0552731,27.9561,28.3553,220.84
2021-03-13 00:00:00+00:00,61188.39,1922.35,276.2822,15.3033,0.45787,1.1,0.0627892,30.8799,29.7384,226.06
2021-03-14 00:00:00+00:00,58968.31,1848.1,263.238,14.4605,0.43905,1.05243,0.058221,28.8423,28.5469,213.94
2021-03-15 00:00:00+00:00,55605.2,1793.48,254.5144,14.1577,0.43574,1.03103,0.0569691,28.9472,27.5091,200.59
2021-03-16 00:00:00+00:00,56900.75,1805.12,258.5352,13.6392,0.46024,1.24924,0.0586507,33.036,27.9099,201.6
2021-03-17 00:00:00+00:00,58912.97,1823.58,269.7896,14.2018,0.4698,1.377,0.057892,32.6789,31.0579,205.98
2021-03-18 00:00:00+00:00,57648.16,1776.08,261.4816,14.204,0.46893,1.22925,0.0573485,33.2132,29.3949,199.7
2021-03-19 00:00:00+00:00,58030.01,1809.1,262.935,14.1552,0.46651,1.29474,0.0582472,37.3166,29.777,199.96
2021-03-20 00:00:00+00:00,58102.28,1806.1,264.3023,14.1894,0.52613,1.20046,0.0588186,34.2022,29.6465,200.17
2021-03-21 00:00:00+00:00,57351.56,1782.98,264.6513,14.3372,0.51651,1.18561,0.0574781,32.8117,29.2097,195.31
2021-03-22 00:00:00+00:00,54083.25,1680.97,254.7976,14.7964,0.5441,1.1015,0.054888,29.17,27.2431,185.67
